it	post	likelihood	prior	r0	a	p	
8900	-34.2720818114637	-30.8777305387643	-3.39435127269948	0.172758380724115	0.117699427902697	0.168922233049107	
9000	-34.8300815863748	-31.4169319367737	-3.41314964960116	0.191552315875886	0.121414600894788	0.185847569824191	
9100	-33.7543216501947	-30.3569518170107	-3.39736983318399	0.175846195630727	0.00150695317424979	0.161380108939912	
9200	-33.6480205345382	-30.2245418696847	-3.42347866485351	0.201954664066432	0.00865549952723221	0.183687057596861	
9300	-33.9436033072987	-30.5411842543153	-3.4024190529834	0.180865632314233	0.0771938733989357	0.172324369853903	
9400	-35.5088196431602	-32.0726799995466	-3.43613964361358	0.214591393079607	0.0701773970155062	0.200266011318964	
9500	-34.7303585685072	-31.3504166546629	-3.37994191384429	0.158378607397897	0.0890845078276454	0.153617823686846	
9600	-33.9465644639267	-30.5410641568183	-3.40550030710841	0.183948650080709	0.0748743333620966	0.174772379517217	
9700	-34.7326178680029	-31.3527632366644	-3.37985463133851	0.158288428541271	0.0922784899361446	0.153803441130486	
9800	-33.9537205592409	-30.5405981351909	-3.41312242405005	0.19158012812957	0.0611060091294333	0.180007781151108	
9900	-34.6026620108868	-31.2188017164764	-3.38386029441049	0.162237777002154	0.140635137585922	0.161519061819986	
10000	-34.4773832983385	-31.0878101263225	-3.389573172016	0.167951357178388	0.140134677290915	0.166657103907921	
10100	-34.0034113140319	-30.6093690089593	-3.39404230507252	0.172494085831566	0.0701327915303398	0.164425589029825	
10200	-34.2362829003954	-30.8216096178567	-3.41467328253871	0.193118615895508	0.0787914265412827	0.183014988804166	
10300	-37.2585999129851	-33.9081150956224	-3.35048481736275	0.128349716765804	0.349706848151983	0.146747993687196	
10400	-35.0298010485607	-31.6277004918102	-3.40210055675053	0.180436072479932	0.167844017990864	0.180569442624649	
10500	-35.8887807126486	-32.5222692751154	-3.36651143753328	0.144911257196216	0.123736929288135	0.144247185134167	
10600	-34.1926486222757	-30.8038767463913	-3.38877187588444	0.167229788349939	0.0607640284812084	0.159033109878924	
10700	-33.4982076188937	-30.0855463490585	-3.41266126983512	0.19113651323132	0.0150359906721855	0.175344980915273	
10800	-33.9452474276936	-30.5238769738066	-3.42137045388707	0.199839564012362	0.0381147635169322	0.184756689565855	
10900	-34.0107986690369	-30.6172823950838	-3.3935162739531	0.171969648329539	0.0678224517963831	0.163766848870458	
11000	-34.6629957586926	-31.2817099968436	-3.38128576184898	0.15973744753748	0.0702682186849412	0.15326337557784	
11100	-35.0534079631661	-31.6417032694347	-3.41170469373143	0.19008468124084	0.138842566870153	0.186300857889415	
11200	-35.1528742315446	-31.7510910601037	-3.4017831714409	0.180104083335025	0.176330319093541	0.181106934860912	
11300	-34.5195789652781	-31.0794300872245	-3.44014887805359	0.218624920137225	0.00814515368547269	0.197197257626776	
11400	-33.60835928616	-30.2040370722587	-3.40432221390126	0.182794672111048	0.0279842509189624	0.169523569219878	
11500	-35.7184041360916	-32.35208503314	-3.36631910295161	0.144577607819809	0.208743351069279	0.1509328245794	
11600	-37.5814922757666	-34.2341982408951	-3.34729403487149	0.125274007916449	0.315087529527954	0.140602301873501	
11700	-34.1002073806192	-30.6725206775039	-3.4276867031152	0.206158961188046	0.0286905156448479	0.189077988733318	
11800	-34.1304288419255	-30.7332993593595	-3.39712948256607	0.175555101204662	0.100752332666889	0.169848074490981	
11900	-34.2493730910912	-30.8496897141452	-3.39968337694609	0.178095913277937	0.112993335584178	0.173218108919575	
12000	-33.6986012729569	-30.2911205903166	-3.40748068264024	0.185947223193942	0.0443469222867865	0.173666361775231	
12100	-38.2119213923072	-34.8518570046512	-3.36006438765604	0.137467008205129	0.463411966222339	0.167203389208146	
12200	-34.1823311196152	-30.7591932335461	-3.4231378860691	0.201602237373589	0.0490356947295372	0.187288774005287	
12300	-36.4525187986306	-33.0879094398407	-3.36460935878994	0.143053056998177	0.0808400804642591	0.139221420058193	
12400	-34.6812683443849	-31.3006511973536	-3.38061714703128	0.159025744488461	0.116427096584811	0.156503010418815	
12500	-36.3455892388624	-32.9275145889935	-3.41807464986887	0.196397146871312	0.175429073325358	0.195668294584942	
12600	-38.2660423192998	-34.9089931070314	-3.3570492122684	0.134407773772253	0.472823920170776	0.16475166697028	
12700	-34.5402846798538	-31.148789736429	-3.39149494342483	0.169860295010729	0.149011553497986	0.16919956693395	
12800	-34.0073423840031	-30.6120091794296	-3.39533320457347	0.173779067797585	0.0781160382553929	0.166250905660972	
12900	-33.6946971023377	-30.2806710886755	-3.41402601366222	0.192496125800533	0.0353883115341881	0.178359698315601	
13000	-34.87765926029	-31.5001274559537	-3.37753180433627	0.155927648488431	0.126909140031784	0.154586779676777	
13100	-34.1506091959962	-30.7525697322309	-3.39803946376532	0.176462421305476	0.103359819203614	0.170885653446689	
13200	-35.3049031356878	-31.932501754646	-3.37240138104175	0.150812707440926	0.114059109333903	0.148864542399618	
13300	-34.1195125729079	-30.710214870904	-3.40929770200386	0.187738831937311	0.0839569744886824	0.178892672624962	
13400	-36.2950621715416	-32.8380506070543	-3.45701156448724	0.235486307917161	0.0180575267644592	0.211746870462057	
13500	-33.8265163053005	-30.4179122138619	-3.40860409143854	0.187063628239556	0.0580293033970526	0.175876424063067	
13600	-33.4853666079815	-30.0782412510257	-3.40712535695578	0.18560120587237	0.0102458254201343	0.170301580624456	
13700	-33.60523866643	-30.1802132732583	-3.42502539317169	0.20350176412612	0.000754566187969707	0.184202845734025	
13800	-33.4552757256515	-30.0426004215887	-3.41267530406279	0.191151251913978	0.00922984387725645	0.174828226012607	
13900	-36.2120146100702	-32.8472333774868	-3.36478123258339	0.142790447929872	0.30566597939469	0.157720158509375	
14000	-35.759749881792	-32.3466377540312	-3.41311212776078	0.191445250418035	0.169263784680516	0.190605435319027	
14100	-35.265851837907	-31.8476537266843	-3.41819811122272	0.196593736484645	0.12708150090184	0.190816667790107	
14200	-34.1447018456268	-30.7480583048725	-3.39664354075429	0.175067489240317	0.102396596875041	0.169568848178851	
14300	-36.2748594026814	-32.9146674426244	-3.36019196005699	0.138445133939384	0.2112817639485	0.145233408066237	
14400	-33.6884780667433	-30.2658269341636	-3.42265113257968	0.201126480530946	0.0143237565876921	0.183545029060839	
14500	-33.746367461582	-30.338609170928	-3.407758290654	0.186222139336167	0.0500502130249521	0.17442276575473	
14600	-34.9731367767809	-31.5321718811887	-3.44096489559221	0.219437496298922	0.0274703278671957	0.199825341725228	
14700	-33.8432571089203	-30.4476888795034	-3.39556822941688	0.174041903298346	0.0232375550316654	0.161698909753268	
14800	-34.7404517715406	-31.3273444084218	-3.41310736311886	0.191516128452493	0.116282816999593	0.185306179873496	
