it	post	likelihood	prior	r0	a	p	
5100	-109.613336876941	-106.168043624894	-3.44529325204655	0.223759224992246	0.0456088929669922	0.202865187213692	
5200	-110.349911141377	-106.915865438932	-3.43404570244485	0.212521171364934	0.013452740944921	0.192120770813893	
5300	-113.177762985928	-109.764433800775	-3.41332918515213	0.191498424978928	0.247844295669346	0.186649818212087	
5400	-112.627495972716	-109.199866128982	-3.42762984373437	0.205830700146035	0.234741299995222	0.198355597196215	
5500	-109.952470758807	-106.515855184533	-3.43661557427427	0.215069827325643	0.0665142840472973	0.196898158156927	
5600	-109.53573147733	-106.078788445955	-3.45694303137512	0.235419144788758	0.00721647616010251	0.210145085492257	
5700	-109.938120847401	-106.475245813154	-3.46287503424713	0.241350887082518	0.0102075059665357	0.21498915763428	
5800	-110.552930561482	-107.122710239627	-3.43022032185443	0.208626260906459	0.118688457109967	0.19431922566481	
5900	-109.981321925164	-106.543386340849	-3.43793558431579	0.216411596061663	0.00850947010330971	0.195021450688972	
6000	-110.111096790089	-106.653700886909	-3.4573959031802	0.235860596438871	0.048333306540734	0.212729844815767	
6100	-111.915763601058	-108.496362204025	-3.41940139703305	0.197697883183138	0.18967743734829	0.188866313832053	
6200	-109.695345371678	-106.253517055345	-3.44182831633383	0.220304573699833	0.00482566638384119	0.197969738624834	
6300	-109.607432073221	-106.161960973087	-3.44547110013323	0.223937427103521	0.0448259545257304	0.20296764123034	
6400	-109.656702671257	-106.214483903052	-3.44221876820513	0.22068552969955	0.0438458820339281	0.2002864508569	
6500	-110.070543869272	-106.609074227717	-3.4614696415553	0.239942578421907	0.026218065037391	0.214755061020604	
6600	-111.401408562761	-107.959478909518	-3.4419296532431	0.220277439514176	0.160366785968653	0.206320623180398	
6700	-112.491807129345	-109.057805939668	-3.43400118967742	0.212239648224787	0.218135395529679	0.202879864954776	
6800	-109.48771572299	-106.0391890149	-3.44852670809013	0.226999803790824	0.0256050799041978	0.20441563513993	
6900	-109.591015987263	-106.145276063625	-3.44573992363748	0.224207293726505	0.0424351558322078	0.203058922534804	
7000	-110.741663014858	-107.278546978866	-3.46311603599219	0.24157929448411	0.0512158361496412	0.217444179449185	
7100	-109.678561984953	-106.218451174862	-3.46011081009089	0.23858704053797	0.00535451585892499	0.212547995862631	
7200	-112.576154087311	-109.154155210455	-3.42199887685665	0.200475170211868	0.00401113603729678	0.181846508620913	
